"id","title","author","pages","publication_year","date_read","format","genre"
1,"The AIG Story","Maurice R. Greenberg",352,2013,2015-04-06,"ebook","business"
2,"On the Brink: How a Crisis Transformed Lloyd's of London","Andrew Duguid",400,2014,2015-04-27,"ebook","business"
3,"Liar's Poker","Michael Lewis",320,1989,2015-05-02,"ebook","business"
4,"Lords of Strategy: The Secret Intellectual History of the New Corporate World","Walter Kiechel III",320,2009,2015-05-06,"ebook","business"
5,"Against the Gods: The Remarkable Story of Risk","Peter L. Bernstein",383,1996,2015-07-16,"ebook","business"
6,"The Mingling of Souls: God's Design for Love, Marriage, Sex, and Redemption","Matt Chandler",226,2015,2015-07-16,"ebook","theology"
7,"HBR's 10 Must Reads: The Essentials","Clayton M. Christensen",288,2010,2015-07-16,"ebook","business"
8,"The McKinsey Way","Ethan M. Rasiel",187,1999,2015-07-28,"ebook","business"
9,"Wordsmithy: Hot Tips for the Writing Life","Douglas Wilson",126,2011,2015-08-26,"ebook","other"
10,"Elon Musk: Inventing the Future","Ashlee Vance",400,2015,2015-09-04,"ebook","other"
11,"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism","Doris Kearns Goodwin",928,2013,2015-09-18,"ebook","other"
12,"The Compelling Community: Where God's Power Makes a Church Attractive","Mark Dever",224,2015,2015-09-18,"print","theology"
13,"The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron","Bethany McLean",480,2003,2015-12-18,"ebook","business"
14,"Do More Better: A Practical Guide to Productivity","Tim Challies",104,2015,2015-12-20,"ebook","theology"
15,"God's Glory in Salvation Through Judgment: A Biblical Theology","James M. Hamilton Jr.",639,2010,2015-12-31,"ebook","theology"
16,"Superforecasting: The Art and Science of Prediction","Philip E. Tetlock",352,2015,2015-12-31,"ebook","business"
17,"Get Backed: Craft Your Story, Build the Perfect Pitch Deck, and Launch the Venture of Your Dreams","Evan Baehr",224,2015,2016-01-10,"print","business"
18,"Antifragile: Things that Gain from Disorder (Incerto)","Nassim Nicholas Taleb",433,2012,2016-01-21,"ebook","business"
19,"The 4 Hour Workweek, Expanded And Updated: Expanded And Updated, With Over 100 New Pages Of Cutting Edge Content.","Timothy Ferriss",396,2007,2016-01-25,"audio","business"
20,"Lords of Finance: The Bankers Who Broke the World","Liaquat Ahamed",564,2009,2016-02-11,"audio","business"
21,"The Alchemists: Three Central Bankers and a World on Fire","Neil Irwin",449,2013,2016-02-29,"audio","business"
22,"Other People's Money: The Real Business of Finance","John Kay",352,2015,2016-03-18,"audio","business"
23,"Work As Worship: How the CEOs of Interstate Batteries, Hobby Lobby, PepsiCo, Tyson Foods and More Bring Meaning to Their Work","Mark L. Russell",170,2012,2016-04-06,"ebook","business"
24,"Five Minds for the Future","Howard Gardner",196,2007,2016-04-15,"audio","business"
25,"A Voice in the Wind (Mark of the Lion, #1)","Francine Rivers",520,1998,2016-04-19,"ebook","fiction"
26,"The Explicit Gospel","Matt Chandler",237,2012,2016-05-01,"audio","theology"
27,"An Echo in the Darkness (Mark of the Lion, #2)","Francine Rivers",461,1994,2016-05-02,"ebook","fiction"
28,"Taking God at His Word: Why the Bible Is Knowable, Necessary, and Enough, and What That Means for You and Me","Kevin DeYoung",138,2014,2016-05-05,"audio","theology"
29,"As Sure as the Dawn (Mark of the Lion, #3)","Francine Rivers",520,1995,2016-05-16,"ebook","fiction"
30,"Stress Test: Reflections on Financial Crises","Timothy F. Geithner",592,2014,2016-05-24,"audio","business"
31,"Good for the Money: My Fight to Pay Back America","Robert Benmosche",288,2016,2016-05-25,"ebook","business"
32,"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China","Evan Osnos",432,2014,2016-06-27,"audio","business"
33,"GDP: A Brief But Affectionate History","Diane Coyle",159,2014,2016-07-14,"ebook","business"
34,"The Everything Store: Jeff Bezos and the Age of Amazon","Brad Stone",372,2013,2016-08-07,"ebook","business"
35,"The Kite Runner","Khaled Hosseini",371,2004,2016-08-11,"audio","fiction"
36,"J. I. Packer: An Evangelical Life","Leland Ryken",431,2015,2016-08-11,"audio","theology"
