"Your Kindle Notes For:",,,
"ANTIFRAGILE: THINGS THAT GAIN FROM DISORDER (INCERTO)",,,
"by Nassim Nicholas Taleb",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2ccCT0a",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 337","","Antifragility is beyond resilience or robustness. The resilient resists shocks and stays the same; the antifragile gets better."
"Highlight (Yellow)","Location 343","","The antifragile loves randomness and uncertainty, which also means—crucially—a love of errors, a certain class of errors. Antifragility has a singular property of allowing us to deal with the unknown, to do things without understanding them—and do them well. Let me be more aggressive: we are largely better at doing than we are at thinking, thanks to antifragility. I’d rather be dumb and antifragile than extremely smart and fragile, any time."
"Highlight (Yellow)","Location 360","","And we can almost always detect antifragility (and fragility) using a simple test of asymmetry: anything that has more upside than downside from random events (or certain shocks) is antifragile; the reverse is fragile."
"Highlight (Yellow)","Location 434","","You cannot say with any reliability that a certain remote event or shock is more likely than another (unless you enjoy deceiving yourself), but you can state with a lot more confidence that an object or a structure is more fragile than another should a certain event happen."
"Highlight (Yellow)","Location 487","","fragility—which had been lacking a technical definition—could be expressed as what does not like volatility, and that what does not like volatility does not like randomness, uncertainty, disorder, errors, stressors,"
"Highlight (Yellow)","Location 1473","","Some businesses love their own mistakes. Reinsurance companies, who focus on insuring catastrophic risks (and are used by insurance companies to “re-insure” such non-diversifiable risks), manage to do well after a calamity or tail event that causes them to take a hit. If they are still in business and “have their powder dry” (few manage to have plans for such contingency), they make it up by disproportionately raising premia—customers overreact and pay up for insurance. They claim to have no idea about fair value, that is, proper pricing, for reinsurance, but they certainly know that it is overpriced at times of stress, which is sufficient to them to make a long-term shekel. All they need is to keep their mistakes small enough so they can survive them."
"Highlight (Yellow)","Location 1657","","This is the central illusion in life: that randomness is risky, that it is a bad thing—and that eliminating randomness is done by eliminating randomness. Artisans, say, taxi drivers, prostitutes"
"Highlight (Yellow)","Location 1672","","Man-made smoothing of randomness produces the equivalent of John’s income: smooth, steady, but fragile. Such"
"Highlight (Yellow)","Location 1911","","When we look at risks in Extremistan, we don’t look at evidence (evidence comes too late), we look at potential damage: never has the world been more prone to more damage; never.6 It is hard to explain to naive data-driven people that risk is in the future, not in the past."
"Highlight (Yellow)","Location 1947","","The point of the previous chapter was that the risk properties of the first brother (the fragile bank employee) are vastly different from those of the second one (the comparatively antifragile artisan taxi driver). Likewise, the risk characteristic of a centralized system is different from that of a messy municipally-led confederation. The second type is stable in the long run because of some dose of volatility."
"Highlight (Yellow)","Location 1986","","The idea of injecting random noise into a system to improve its functioning has been applied across fields. By a mechanism called stochastic resonance, adding random noise to the background makes you hear the sounds (say, music) with more accuracy."
