"Your Kindle Notes For:",,,
"DEEP WORK: RULES FOR FOCUSED SUCCESS IN A DISTRACTED WORLD",,,
"by Cal Newport",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2c2hPIE",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 32","","Deep Work: Professional activities performed in a state of distraction-free concentration that push your cognitive capabilities to their limit. These efforts create new value, improve your skill, and are hard to replicate."
"Highlight (Yellow)","Location 72","","Shallow Work: Noncognitively demanding, logistical-style tasks, often performed while distracted. These efforts tend to not create much new value in the world and are easy to replicate."
"Highlight (Yellow)","Location 78","","Spend enough time in a state of frenetic shallowness and you permanently reduce your capacity to perform deep work."
"Highlight (Yellow)","Location 148","","To remain valuable in our economy, therefore, you must master the art of quickly learning complicated things. This task requires deep work. If you don’t cultivate this ability, you’re likely to fall behind as technology advances."
"Highlight (Yellow)","Location 162","","Deep work is so important that we might consider it, to use the phrasing of business writer Eric Barker, “the superpower of the 21st century.”"
"Highlight (Yellow)","Location 166","","The Deep Work Hypothesis: The ability to perform deep work is becoming increasingly rare at exactly the same time it is becoming increasingly valuable in our economy. As a consequence, the few who cultivate this skill, and then make it the core of their working life, will thrive."
"Highlight (Yellow)","Location 189","","Three to four hours a day, five days a week, of uninterrupted and carefully directed concentration, it turns out, can produce a lot of valuable output."
"Highlight (Yellow)","Location 197","","This book is best described as an attempt to formalize and explain my attraction to depth over shallowness, and to detail the types of strategies that have helped me act on this attraction."
"Highlight (Yellow)","Location 251","","In other words, those with the oracular ability to work with and tease valuable results out of increasingly complex machines will thrive. Tyler Cowen summarizes this reality more bluntly: “The key question will be: are you good at working with intelligent machines or not?” Nate Silver, of course, with"
"Highlight (Yellow)","Location 276","","The superstar effect, in other words, has a broader application today than Rosen could have predicted thirty years ago. An increasing number of individuals in our economy are now competing with the rock stars of their sectors."
"Highlight (Yellow)","Location 293","","In this new economy, three groups will have a particular advantage: those who can work well and creatively with intelligent machines, those who are the best at what they do, and those with access to capital."
"Highlight (Yellow)","Location 302","","I just identified two groups that are poised to thrive and that I claim are accessible: those who can work creatively with intelligent machines and those who are stars in their field."
"Highlight (Yellow)","Location 305","","Two Core Abilities for Thriving in the New Economy 1. The ability to quickly master hard things. 2. The ability to produce at an elite level, in terms of both quality and speed."
"Highlight (Yellow)","Location 325","","The point of providing these details is to emphasize that intelligent machines are complicated and hard to master.* To join the group of those who can work well with these machines, therefore, requires that you hone your ability to master hard things. And because these technologies change rapidly, this process of mastering hard things never ends: You must be able to do it quickly, again and again. This ability"
"Highlight (Yellow)","Location 332","","To summarize these observations more succinctly: If you can’t learn, you can’t thrive."
"Highlight (Yellow)","Location 340","","This provides another general observation for joining the ranks of winners in our economy: If you don’t produce, you won’t thrive—no matter how skilled or talented you are."
"Highlight (Yellow)","Location 343","","The two core abilities just described depend on your ability to perform deep work. If you haven’t mastered this foundational skill, you’ll struggle to learn hard things or produce at an elite level."
"Highlight (Yellow)","Location 371","","This brings us to the question of what deliberate practice actually requires. Its core components are usually identified as follows: (1) your attention is focused tightly on a specific skill you’re trying to improve or an idea you’re trying to master; (2) you receive feedback so you can correct your approach to keep your attention exactly where it’s most productive."
"Highlight (Yellow)","Location 392","","To learn hard things quickly, you must focus intensely without distraction. To learn, in other words, is an act of deep work."
"Highlight (Yellow)","Location 449","","“People experiencing attention residue after switching tasks are likely to demonstrate poor performance on that next task,” and the more intense the residue, the worse the performance. The concept"
"Highlight (Yellow)","Location 496","","This specificity is important because it tells us that if you’re a high-level executive at a major company, you probably don’t need the advice in the pages that follow. On the other hand, it also tells us that you cannot extrapolate the approach of these executives to other jobs. The fact that Dorsey encourages interruption or Kerry Trainor checks his e-mail constantly doesn’t mean that you’ll share their success if you follow suit: Their behaviors are characteristic of their specific roles as corporate officers."
"Highlight (Yellow)","Location 560","","To summarize, big trends in business today actively decrease people’s ability to perform deep work, even though the benefits promised by these trends (e.g., increased serendipity, faster responses to requests, and more exposure) are arguably dwarfed by the benefits that flow from a commitment to deep work (e.g., the ability to learn hard things fast and produce at an elite level)."
"Highlight (Yellow)","Location 620","","The Principle of Least Resistance: In a business setting, without clear feedback on the impact of various behaviors to the bottom line, we will tend toward behaviors that are easiest in the moment."
"Highlight (Yellow)","Location 686","","Busyness as Proxy for Productivity: In the absence of clear indicators of what it means to be productive and valuable in their jobs, many knowledge workers turn back toward an industrial indicator of productivity: doing lots of stuff in a visible manner."
