"Your Kindle Notes For:",,,
"GDP: A BRIEF BUT AFFECTIONATE HISTORY",,,
"by Diane Coyle",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2d3bdjr",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 107","","GDP is the way we measure and compare how well or badly countries are doing. But this is not a question of measuring a natural phenomenon like land mass or average temperature to varying degrees of accuracy. GDP is a made-up entity."
"Highlight (Yellow)","Location 130","","In 2000, the U.S. Bureau of Economic Analysis declared GDP to be “One of the Great Inventions of the 20th Century.”"
"Highlight (Yellow)","Location 133","","I also ask whether GDP alone is still a good enough measure of economic performance—and conclude not. It is a measure designed for the twentieth-century economy of physical mass production, not for the modern economy of rapid innovation and intangible, increasingly digital, services. How well the economy is doing is always going to be an important part of everyday politics, and we’re going to need a better measure of “the economy” than today’s GDP."
"Highlight (Yellow)","Location 175","","Only those involved in the making of physical commodities, agriculture and industry, would count toward national income. The provision of more services was a cost to the national economy,"
"Highlight (Yellow)","Location 177","","Importantly, money spent on warfare or the interest on government debt was also being used unproductively. The nation’s wealth was its stock of physical assets less the national debt. National income was what derived from the national wealth."
"Highlight (Yellow)","Location 186","","The idea of a distinction between productive and unproductive activity, adopted by Adam Smith, dominated economic debate and measurement until the late nineteenth century. Karl Marx echoed it, and it remained the basis for measuring the centrally planned economies until the collapse of communism after"
"Highlight (Yellow)","Location 251","","The discussions were highly technical but the underlying issue was profound: what was the meaning of economic growth and why were statisticians measuring it? Gilbert and his colleagues were clear that the aim was to have a measurement that was useful to the government in running its fiscal policy."
"Highlight (Yellow)","Location 272","","For two centuries, “the economy” was the private sector. Government played a small role in economic life, and featured mainly because it looked to raise taxes to pay for wars."
"Highlight (Yellow)","Location 326","","GDP statistics and Keynesian macroeconomic policy were mutually reinforcing. The story of GDP since 1940 is also the story of macroeconomics. The availability of national accounts statistics made demand management"
"Highlight (Yellow)","Location 376","","There is no such entity as GDP out there in the real world waiting to be measured by economists. It is an abstract idea, and one that after a half century of international discussion and standard-setting has become extremely complicated. The manuals for statisticians run to hundreds of pages, and it takes a substantial investment of time and effort to understand the national accounts in any detail."
"Highlight (Yellow)","Location 425","","GDP counts all the economic output generated within the nation’s boundary. GNP counts all the economic output generated by national entities, some of it occurring overseas."
"Highlight (Yellow)","Location 516","","The trouble with using old weights is that the structure of the economy changes quite dramatically over time. In many African, Asian, and Latin American economies, the GDP calculations take no account of phenomena such as globalization, or the mobile phone revolution in the developing world."
"Highlight (Yellow)","Location 533","","statistical changes).30 For this reason, the developed economies’ national accounts for the most part now use a “chain-weighted” price index in the calculation of real GDP, meaning that the weights used to combine the separate prices into one index change steadily year by year."
"Highlight (Yellow)","Location 548","","The seemingly technical issue of how best to calculate a price index has some profound implications, ones which economists routinely ignore. In short, the choice of techniques completely alters even the broad outlines of the big picture on economic growth."
"Highlight (Yellow)","Location 553","","Sometimes an increase in the price of an item reflects an improvement in quality, and failing to take account of this would lead to an underestimate of real GDP."
"Highlight (Yellow)","Location 607","","Decisions like these concern what is known as the “production boundary”: what counts as economic output? Government expenditure and household services (such as cleaning and home-grown vegetables) are just two obvious fuzzy areas."
"Highlight (Yellow)","Location 614","","There is an equally general consensus that household services should not be included—although including their value (as discussed in chapter 6) might add 50 percent or more to estimates of GDP, much more than the scale of the government contribution."
"Highlight (Yellow)","Location 630","","Finally, and above all, it is important to recognize that GDP is not a measure of welfare. It—notoriously—counts the services of lawyers and other “bads” as a positive. So too the rebuilding of bridges and homes after a storm like Katrina or Sandy, or floods. GDP measures output; it does not measure well-being. Much more on this, too, as this brief history unfolds."
"Highlight (Yellow)","Location 664","","GDP does not measure the nation’s assets or balance sheet, only its flow of income, expenditure, and production from year to year."
