"Your Kindle Notes For:",,,
"HBR'S 10 MUST READS: THE ESSENTIALS",,,
"by Harvard Business Review",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2itfFH1",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 54","","To succeed consistently, good managers need to be skilled not just in assessing people but also in assessing the abilities and disabilities of their organization as a whole."
"Highlight (Yellow)","Location 55","","This article offers managers a framework to help them understand what their organizations are capable of accomplishing. It will show them how their company’s disabilities become more sharply defined even as its core capabilities grow. It will"
"Highlight (Yellow)","Location 58","","And it will offer some bottom-line advice that runs counter to much that’s assumed in our can-do business culture: if an organization faces major change—a disruptive innovation, perhaps—the worst possible approach may be to make drastic adjustments to the existing organization. In trying to transform an enterprise, managers can destroy the very capabilities that sustain it. Before rushing"
"Highlight (Yellow)","Location 65","","Our research suggests that three factors affect what an organization can and cannot do: its resources, its processes, and its values."
"Highlight (Yellow)","Location 95","","processes, we mean the patterns of interaction, coordination, communication, and decision making employees use to transform resources into products and services of greater worth."
"Highlight (Yellow)","Location 113","","We define an organization’s values as the standards by which employees set priorities that enable them to judge whether an order is attractive or unattractive, whether a customer is more important or less important, whether an idea for a new product is attractive or marginal, and so"
"Highlight (Yellow)","Location 119","","A key metric of good management, in fact, is whether such clear, consistent values have permeated the organization."
"Highlight (Yellow)","Location 224","","Sustaining innovations are nearly always developed and introduced by established industry leaders. But those same companies never introduce—or cope well with—disruptive innovations. Why? Our resources-processes-values framework holds the answer. Industry leaders are organized to develop and introduce sustaining technologies."
"Highlight (Yellow)","Location 242","","So whether addressing sustaining or disruptive innovations, when an organization needs new processes and values—because it needs new capabilities—managers must create a new organizational space where those capabilities can be developed. There are three possible ways to do that. Managers can • create new organizational structures within corporate boundaries in which new processes can be developed, • spin out an independent organization from the existing organization and develop within it the new processes and values required to solve the new problem, • acquire a different organization whose processes and values closely match the requirements of the new task. Creating new"
"Highlight (Yellow)","Location 357","","Managers whose organizations are confronting change must first determine whether they have the resources required to succeed. They then need to ask a separate question: Does the organization have the processes and values it needs to succeed in this new situation? Asking this second question is not as instinctive for most managers because the processes by which work is done and the values by which employees make their decisions have served them well in the past."
"Highlight (Yellow)","Location 366","","The reason that innovation often seems to be so difficult for established companies is that they employ highly capable people and then set them to work within organizational structures whose processes and values weren’t designed for the task at hand. Ensuring that capable people are ensconced in capable organizations is a major responsibility of management in a transformational age such as ours."
"Highlight (Yellow)","Location 422","","This article lays out the characteristics and practices of these statistical masters and describes some of the very substantial changes other companies must undergo in order to compete on quantitative turf."
"Highlight (Yellow)","Location 718","","The only way to discover your strengths is through feedback analysis. Whenever you make a key decision or take a key action, write down what you expect will happen. Nine or 12 months later, compare the actual results with your expectations."
"Highlight (Yellow)","Location 730","","Several implications for action follow from feedback analysis. First and foremost, concentrate on your strengths. Put yourself where your strengths can produce results. Second, work on improving your strengths."
"Highlight (Yellow)","Location 733","","Third, discover where your intellectual arrogance is causing disabling ignorance and overcome"
"Highlight (Yellow)","Location 758","","To accurately identify your strengths, use feedback analysis. Every time you make a key decision, write down the outcome you expect. Several months later, compare the actual results with your expected results. Look for patterns in what you’re seeing:"
"Highlight (Yellow)","Location 780","","Manners—simple things like saying “please” and “thank you” and knowing a person’s name or asking after her family—enable two people to work together whether they like each other or"
"Highlight (Yellow)","Location 785","","One should waste as little effort as possible on improving areas of low competence. It takes far more energy and work to improve from incompetence to mediocrity than it takes to improve from first-rate performance to excellence. And yet most people—especially most teachers and most"
"Highlight (Yellow)","Location 852","","The conclusion bears repeating: Do not try to change yourself—you are unlikely to succeed. But work hard to improve the way you perform. And try not to take on work you cannot perform or will only perform poorly."
"Highlight (Yellow)","Location 922","","Knowledge workers in particular have to learn to ask a question that has not been asked before: What should my contribution be? To answer it, they must address three distinct elements: What does the situation require? Given my strengths, my way of performing, and my values, how can I make the greatest contribution to what needs to be done? And finally, What results have to be achieved to make a difference? Consider the"
"Highlight (Yellow)","Location 930","","it is rarely possible—or even particularly fruitful—to look too far ahead. A plan can usually cover no more than 18 months and still be reasonably clear and specific. So the question in most cases should be, Where and how can I achieve results that will make a difference within the next year and a half? The answer must balance several"
"Highlight (Yellow)","Location 1024","","prayer has it. The only mobility was downward mobility. In a knowledge society, however, we expect everyone to be a success. This is clearly an impossibility. For a great many people, there is at best an absence of failure. Wherever there is success, there"
