"Your Kindle Notes For:",,,
"HOW TO WIN FRIENDS AND INFLUENCE PEOPLE",,,
"by Dale Carnegie",,,
"Free Kindle instant preview:",,,
"http://a.co/4pxht1o",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 156","","EIGHT THINGS THIS BOOK WILL HELP YOU ACHIEVE 1. Get out of a mental rut, think new thoughts, acquire new visions, discover new ambitions. 2. Make friends quickly and easily. 3. Increase your popularity. 4. Win people to your way of thinking. 5. Increase your influence, your prestige, your ability to get things done. 6. Handle complaints, avoid arguments, keep your human contacts smooth and pleasant. 7. Become a better speaker, a more entertaining conversationalist. 8. Arouse enthusiasm among your associates"
"Highlight (Yellow)","Location 1529","","But the person who has technical knowledge plus the ability to express ideas, to assume leadership, and to arouse enthusiasm among people-that person is headed for higher earning power."
"Highlight (Yellow)","Location 3828","","PRINCIPLE 1—Don’t criticize, condemn or complain"
"Highlight (Yellow)","Location 3905","","John Dewey, one of America’s most profound philosophers, phrased it a bit differently. Dr. Dewey said that the deepest urge in human nature is “the desire to be important.” Remember that phrase: “the desire to be important.” It is significant. You are going to hear a lot about it in this book."
"Highlight (Yellow)","Location 4451","","“I consider my ability to arouse enthusiasm among my people,” said Schwab, “the greatest asset I possess, and the way to develop the best that is in a person is by appreciation and encouragement. “There is nothing else that so kills the ambitions of a person as criticisms from superiors. I never criticize anyone. I believe in giving a person incentive to work. So I am anxious to praise but loath to find fault. If I like anything, I am hearty in my approbation and lavish in my praise.”"
"Highlight (Yellow)","Location 4513","","Carnegie wanted to praise his assistants even on his tombstone. He wrote an epitaph for himself which read: “Here lies one who knew how to get around him men who were cleverer than himself:”"
"Highlight (Yellow)","Location 4843","","The difference between appreciation and flattery? That is simple. One is sincere and the other insincere. One comes from the heart out; the other from the teeth out. One is unselfish; the other selfish. One is universally admired; the other universally condemned"
"Highlight (Yellow)","Location 5070","","PRINCIPLE 2—Give honest and sincere appreciation."
"Highlight (Yellow)","Location 5258","","Every act you have ever performed since the day you were born was performed because you wanted something"
"Highlight (Yellow)","Location 5448","","Tomorrow you may want to persuade somebody to do something. Before you speak, pause and ask yourself: “How can I make this person want to do it"
"Highlight (Yellow)","Location 5632","","Here is one of the best bits of advice ever given about the fine art of human relationships. “If there is any one secret of success,” said Henry Ford, “it lies in the ability to get the other person’s point of view and see things from that person’s angle as well as from your own.”"
"Highlight (Yellow)","Location 5761","","And if salespeople can show us how their services or merchandise will help us solve our problems, they won’t need to sell us. We’ll buy. And customers like to feel that they are buying—not being sold."
"Highlight (Yellow)","Location 5782","","The world is full of people who are grabbing and self-seeking. So the rare individual who unselfishly tries to serve others has an enormous advantage."
"Highlight (Yellow)","Location 5846","","When we have a brilliant idea, instead of making others think it is ours, why not let them cook and stir the idea themselves. They will then regard it as their own; they will like it and maybe eat a couple of helpings of it."
"Highlight (Yellow)","Location 5849","","PRINCIPLE 3—Arouse in the other person an eager want."
"Highlight (Yellow)","Location 5868","","You can make more friends in two months by becoming interested in other people than you can in two years by trying to get other people interested in you."
"Highlight (Yellow)","Location 6025","","If you want others to like you, if you want to develop real friendships, if you want to help others at the same time as you help yourself, keep this principle in mind: PRINCIPLE 1—Become genuinely interested in other people."
"Highlight (Yellow)","Location 6066","","You must have a good time meeting people if you expect them to have a good time meeting you."
"Highlight (Yellow)","Location 6137","","PRINCIPLE 2—Smile."
"Highlight (Yellow)","Location 6166","","Jim Farley discovered early in life that the average person is more interested in his or her own name than in all the other names on earth put together. Remember that name and call it easily, and you have paid a subtle and very effective compliment."
"Highlight (Yellow)","Location 6259","","PRINCIPLE 3—Remember that a person’s name is to that person the sweetest and most important sound in any language."
"Highlight (Yellow)","Location 6388","","So if you aspire to be a good conversationalist, be an attentive listener. To be interesting, be interested. Ask questions that other persons will enjoy answering. Encourage them to talk about themselves and their accomplishments."
"Highlight (Yellow)","Location 6393","","PRINCIPLE 4—Be a good listener. Encourage others to talk about themselves."
"Highlight (Yellow)","Location 6399","","For Roosevelt knew, as all leaders know, that the royal road to a person’s heart is to talk about the things he or she treasures most."
"Highlight (Yellow)","Location 6452","","PRINCIPLE 5—Talk in terms of the other person’s interests."
