"Your Kindle Notes For:",,,
"LORDS OF STRATEGY: THE SECRET INTELLECTUAL HISTORY OF THE NEW CORPORATE WORLD",,,
"by Walter Kiechel",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2iFoZr3",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 100","","the three Cs central to any good strategy: the company’s costs, especially costs relative to other companies; the definition of the markets the company served—its customers, in other words—and its position vis à vis competitors."
"Highlight (Yellow)","Location 131","","This book will argue their case, warts, major moral disfigurements, and all. As far as I know, the volume in your hands represents the first book-length treatment of the strategy revolution. Know what it aims to be and what not. It’s an exercise in journalism more than scholarship, albeit what I think of as the journalism of ideas."
"Highlight (Yellow)","Location 183","","Henderson was also a pioneer in that he looked at the challenges facing his clients as mysteries to be solved, usually through massive and creative data gathering, then fitting the data to a framework, or supplying such a framework, to explain it."
"Highlight (Yellow)","Location 605","","The experience curve was, simply, the single most important concept in launching the strategy revolution."
"Highlight (Yellow)","Location 695","","Up until the 1980s at least, most of the clients of BCG and the other strategy consulting firms were industrial companies. The story of the strategy revolution is thus, in some considerable measure, about how these enterprises sought ideas from the consultants and others to help them stem what turned out to be an inexorable decline."
"Highlight (Yellow)","Location 829","","Note, though, that none of these criticisms dispute the curve’s existence or call into question its power to discipline a company’s thinking around the imperative to cut costs incessantly. Its forcefulness and menace endure into the twenty-first century, as a senior partner of a strategy firm observes: “The experience curve is like what Newton discovered with the law of gravity. It’s a fundamental law of nature. People disobey it at their peril.”"
"Highlight (Yellow)","Location 1418","","The product of Bain’s efforts was to be not a report or a study—the firm’s consultants still drip with disdain at the mention of such things—but rather a strategy and, even more important, results—results that you could see first on the bottom line, then in the stock price. Fairly quickly, this value proposition was boiled down to a snappy formulation: “We don’t sell advice by the hour; we sell profits at a discount.”"
"Highlight (Yellow)","Location 1626","","McKinsey espouses and, at its best, puts into practice a principle it calls the democracy of ideas. The notion, to be commended to any company dependent on the bright minds of its people—which by the middle of the twenty-first century, will be every company—is that an idea or insight should be judged on its content, not on the seniority of its source, or lack thereof. Sounds like motherhood and apple pie, but fiendishly difficult to make work, in part because mother and father seem to hard-wire a degree of hierarchicalism into our human natures. Fred"
"Highlight (Yellow)","Location 2064","","That led to the generic strategies,” the subject of his chapter 2 and the other big idea that the book became famous for. There were essentially three strategies a company could choose, he posited: low-cost leadership (beloved of fans of the experience curve), product differentiation (making your offering so distinctive that you could charge more for it), or market specialization (pick a niche and dominate it)."
"Highlight (Yellow)","Location 2077","","For all the niggles one may have with it, Competitive Strategy did more than any other book to consolidate the advances of the strategy revolution, bring scholarly respectability to its subject matter, and brand the paradigm as one that needed to be at the center of both corporate deliberation and business school education."
"Highlight (Yellow)","Location 2301","","Peters and Waterman would each return again and again to the centrality of people to a company’s success—employees as the source of innovation, well-executed service, and continued corporate learning, customers as people whose wishes must be understood, honored, and if possible exceeded."
