"Your Kindle Notes For:",,,
"THE EVERYTHING STORE: JEFF BEZOS AND THE AGE OF AMAZON",,,
"by Brad Stone",,,
"Free Kindle instant preview:",,,
"http://amzn.to/29d9pzx",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 153","","“If you want to get to the truth about what makes us different, it’s this,” Bezos says, veering into a familiar Jeffism: “We are genuinely customer-centric, we are genuinely long-term oriented and we genuinely like to invent. Most companies are not those things. They are focused on the competitor, rather than the customer. They want to work on things that will pay dividends in two or three years, and if they don’t work in two or three years they will move on to something else. And they prefer to be close-followers rather than inventors, because it’s safer. So if you want to capture the truth about Amazon, that is why we are different. Very few companies have all of those three elements.”"
"Highlight (Yellow)","Location 179","","The goal of this book is to tell the story behind one of the greatest entrepreneurial successes since Sam Walton flew his two-seat turboprop across the American South to scope out prospective Walmart store sites. It’s the tale of how one gifted child grew into an extraordinarily driven and versatile CEO and how he, his family, and his colleagues bet heavily on a revolutionary network called the Internet, and on the grandiose vision of a single store that sells everything."
"Highlight (Yellow)","Location 454","","One of their driving goals was to create something superior to the existing online bookstores, including Books.com, the website of the Cleveland-based bookstore Book Stacks Unlimited. “As crazy as it might sound, it did appear that the first challenge was to do something better than these other guys,” Davis says. “There was competition already. It wasn’t as if Jeff was coming up with something completely new.”"
"Highlight (Yellow)","Location 1137","","The high-tech community was getting a lesson in the dynamics of network effects—products or services become increasingly valuable as more people use them. In online marketplaces, the network effect was pervasive; sellers stuck around for access to a critical mass of buyers, and vice versa. In the auctions category, eBay already had an insurmountable advantage."
"Highlight (Yellow)","Location 1488","","The Amazon we know today, with all of its attributes and idiosyncrasies, is in many ways a product of the obstacles Bezos and Amazon navigated during the dot-com crash, a response to the widespread lack of faith in the company and its leadership."
"Highlight (Yellow)","Location 1584","","When both teams met for the first time, Bezos made a big show of keeping one chair open at the conference-room table, “for the customer,” he explained."
"Highlight (Yellow)","Location 1627","","Bezos was obsessed with the customer experience, and anyone who didn’t have the same single-minded focus or who he felt wasn’t demonstrating a capacity for thinking big bore the brunt of his considerable temper."
"Highlight (Yellow)","Location 1756","","“It’s not fun picking up the Times and seeing your picture above the fold accused of insider trading. We are all products of what we’ve been through. This is one of the things that made Jeff the person he is. That scar does not heal easily.”"
"Highlight (Yellow)","Location 2431","","Bezos’s counterintuitive point was that coordination among employees wasted time, and that the people closest to problems were usually in the best position to solve them. That would come to represent something akin to the conventional wisdom in the high-tech industry over the next decade."
"Highlight (Yellow)","Location 2441","","So he framed the kind of employees he wanted in simple terms. All new hires had to directly improve the outcome of the company. He wanted doers—engineers, developers, perhaps merchandise buyers, but not managers. “We didn’t want to be a monolithic army of program managers, à la Microsoft. We wanted independent teams to be entrepreneurial,” says Neil Roseman. Or, as Roseman also put it: “Autonomous working units are good. Things to manage working units are bad.” But as was often"
