"Your Kindle Notes For:",,,
"THE INNOVATOR'S DILEMMA: WHEN NEW TECHNOLOGIES CAUSE GREAT FIRMS TO FAIL (MANAGEMENT OF INNOVATION AND CHANGE)",,,
"by Clayton Christensen",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2d5BFnX",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 81","","In 1990 I began asking the two questions that would eventually help shape this book. First, “Why is success so difficult to sustain?” And second, “Is successful innovation really as unpredictable as the data suggests?”"
"Highlight (Yellow)","Location 91","","What often causes this lagging behind are two principles of good management taught in business schools: that you should always listen to and respond to the needs of your best customers, and that you should focus investments on those innovations that promise the highest returns."
"Highlight (Yellow)","Location 93","","But these two principles, in practice, actually sow the seeds of every successful company’s ultimate demise. That’s why we call it the innovator’s dilemma: doing the right thing is the wrong thing. This dilemma rears its head when a type of innovation that we’ve termed disruptive technology arises at the low end of the market, in the simplest, most unassuming applications. Explaining this paradox is the purpose of this book."
"Highlight (Yellow)","Location 148","","But this book is not about companies with such weaknesses: It is about well-managed companies that have their competitive antennae up, listen astutely to their customers, invest aggressively in new technologies, and yet still lose market dominance."
"Highlight (Yellow)","Location 201","","One theme common to all of these failures, however, is that the decisions that led to failure were made when the leaders in question were widely regarded as among the best companies in the world."
"Highlight (Yellow)","Location 206","","but that there is something about the way decisions get made in successful organizations that sows the seeds of eventual failure."
"Highlight (Yellow)","Location 207","","It shows that in the cases of well-managed firms such as those cited above, good management was the most powerful reason they failed to stay atop their industries. Precisely became these firms listened to their customers, invested aggressively in new technologies that would provide their customers more and better products of the sort they wanted, and because they carefully studied market trends and systematically allocated investment capital to innovations that promised the best returns, they lost their positions of leadership."
"Highlight (Yellow)","Location 212","","There are times at which it is right not to listen to customers, right to invest in developing lower-performance products that promise lower margins, and right to aggressively pursue small, rather than substantial, markets."
"Highlight (Yellow)","Location 259","","What all sustaining technologies have In common is that they improve the performance of established products, along the dimensions of performance that mainstream customers in major markets have historically valued. Most technological advances in a given industry are sustaining in character, An important finding revealed in this book is that rarely have even the most radically difficult sustaining technologies precipitated the failure of leading firms. Occasionally,"
"Highlight (Yellow)","Location 264","","Disruptive technologies bring to a market a very different value proposition than had been available previously. Generally, disruptive technologies underperform established products in mainstream markets. But they have other features that a few fringe (and generally new) customers value. Products based on disruptive technologies are typically cheaper, simpler, smaller, and, frequently, more convenient to use."
"Highlight (Yellow)","Location 321","","Every company in every industry works under certain forces—laws of organizational nature—that act powerfully to define what that company can and cannot do. Managers faced with disruptive technologies fail their companies when these forces overpower them."
"Highlight (Yellow)","Location 346","","With few exceptions, the only instances in which mainstream firms have successfully established a timely position in a disruptive technology were those in which the firms, managers set up an autonomous organization charged with building a new and independent business around the disruptive technology. Such organizations, free of the power of the customers of the mainstream company, ensconce themselves among a different set of customers—those who want the products of the disruptive technology."
"Highlight (Yellow)","Location 353","","It is very difficult for a company whose cost structure is tailored to compete in high-end markets to be profitable in low-end markets as well. Creating an independent organization, with a cost structure honed to achieve profitability at the low margins characteristic of most disruptive technologies, is the only viable way for established firms to harness this principle."
"Highlight (Yellow)","Location 363","","Many large companies adopt a strategy of waiting until new markets are “large enough to be interesting.’’ But the evidence presented in chapter shows why this is not often a successful strategy. Those large established"
"Highlight (Yellow)","Location 379","","In many instances, leadership in sustaining innovations—about which information is known and for which plans can be made—is not competitively important. In such cases, technology followers do about as well as technology leaders. It is in disruptive innovations, where we know least about the market, that there are such strong first-mover advantages. This is the innovator’s dilemma."
"Highlight (Yellow)","Location 517","","Simply put, when the best firms succeeded, they did so because they listened responsively to their customers and invested aggressively in the technology, products, and manufacturing capabilities that satisfied their customers’ next-generation needs. But, paradoxically, when the best firms subsequently failed, it was for the same reasons—they listened responsively to their customers and invested aggressively in the technology, products, and manufacturing capabilities that satisfied their customers’ next-generation needs. This is one of the innovator’s dilemmas: Blindly following the maxim that good managers should keep close to their customers can sometimes be a fatal mistake."
"Highlight (Yellow)","Location 593","","This study of technological change over the history of the disk drive industry revealed two types of technology change, each with very different effects on the industry’s leaders. Technologies of the first sort sustained the industry’s rate of improvement in product performance (total capacity and recording density were the two most common measures) and ranged in difficulty from incremental to radical. The industry’s dominant firms always led in developing and adopting these technologies. By contrast, innovations of the second sort disrupted or redefined performance trajectories—and consistently resulted in the failure of the industry’s leading firms."
"Highlight (Yellow)","Location 654","","The established firms were the leading innovators not just in developing risky, complex, and expensive component technologies such as thin-film heads and disks, but in literally every other one of the sustaining innovations in the industry’s history."
"Highlight (Yellow)","Location 680","","Generally disruptive innovations were technologically straightforward, consisting of off-the-shelf components put together in a product architecture that was often simpler than prior"
"Highlight (Yellow)","Location 782","","The fear of cannibalizing sales of existing products is often cited as a reason why established firms delay the introduction of new technologies."
"Highlight (Yellow)","Location 825","","In the context of the preceding analysis of the disk drive industry, this question can be sharpened considerably. The established firms were, in fact, aggressive, innovative, and customer-sensitive in their approaches to sustaining innovations of every sort. But the problem established firms seem unable to confront successfully is that of downward vision and mobility, in terms of the trajectory map. Finding new applications and markets for these new products seems to be a capability that each of these firms exhibited once, upon entry, and then apparently lost. It was as if the leading firms were held captive by their customers, enabling attacking entrant firms to topple the incumbent industry leaders each time a disruptive technology emerged."
"Highlight (Yellow)","Location 970","","The concept of the value network—the context within which a firm identifies and responds to customers’ needs, solves problems, procures input, reacts to competitors, and strives for profit—is central to this synthesis."
"Highlight (Yellow)","Location 1048","","The cost structures characteristic of each value network can have a powerful effect on the sorts of innovations firms deem profitable. Essentially, innovations that are valued within a firm’s value network, or in a network where characteristic gross margins are higher, will be perceived as profitable. Those technologies whose attributes make them valuable only in networks with lower gross margins, on the other hand, will not be viewed as profitable, and are unlikely to attract resources or managerial interest."
"Highlight (Yellow)","Location 1112","","Good managers do what makes sense, and what makes sense is primarily shaped by their value network."
"Highlight (Yellow)","Location 1126","","Although entrants led in commercializing disruptive technologies, their development was often the work of engineers at established firms, using bootlegged resources. Rarely initiated by senior management, these architecturally innovative designs almost always employed off-the-shelf components."
"Highlight (Yellow)","Location 1178","","The start-ups, however, were as unsuccessful as their former employers in attracting established computer makers to the disruptive architecture. Consequently, they had to find new customers."
"Highlight (Yellow)","Location 1262","","The technology S-curve is often used to predict whether an emerging technology is likely to supplant an established one. The operative trigger is the slope of the curve of the established technology."
