"Your Kindle Notes For:",,,
"THE SMARTEST GUYS IN THE ROOM: THE AMAZING RISE AND SCANDALOUS FALL OF ENRON",,,
"by Bethany McLean, Peter Elkind, Joe Nocera",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2iyr5Md",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 465","","The tale of Enron is a story of human weakness, of hubris and greed and rampant self-delusion; of ambition run amok; of a grand experiment in the deregulated world; of a business model that didn’t work; and of smart people who believed their next gamble would cover their last disaster—and who couldn’t admit they were wrong. In less combative moods, Skilling"
"Highlight (Yellow)","Location 794","","Although it took place a long time ago, it seems obvious now that the Enron Oil scandal was the canary in the coal mine."
"Highlight (Yellow)","Location 1054","","Skilling they don’t just use the word “smart”; they use phrases like “incandescently brilliant” or “the smartest person I ever met.” Skilling in the late 1980s wasn’t a physically striking man—he was smallish, a little pudgy, and balding—but his mental agility was breathtaking. He could process information and conceptualize new ideas with blazing speed. He could instantly simplify highly complex issues into a sparkling, compelling image. And he presented his ideas with a certainty that bordered on arrogance and brooked no dissent. He used"
"Highlight (Yellow)","Location 1060","","For all his brilliance, Skilling had dangerous blind spots. His management skills were appalling, in large part because he didn’t really understand people. He expected people to behave according to the imperatives of pure intellectual logic, but of course nobody does that (including, it should be said, Skilling himself)."
"Highlight (Yellow)","Location 1064","","Skilling also had a tendency to oversimplify, and he largely disregarded—indeed, he had an active distaste for—the messy details involved in executing a plan. What thrilled Skilling, always, was the intellectual purity of an idea, not the translation of that idea into reality."
"Highlight (Yellow)","Location 1067","","Over time his arrogance hardened, and he became so sure that he was the smartest guy in the room that anyone who disagreed with him was summarily dismissed as just not bright enough to “get it.”"
"Highlight (Yellow)","Location 1068","","And there was one other thing about Skilling. For all his analytical abilities, he was a gambler at heart and had been from an early age. He always assumed that he could beat the odds. In the end, that was Skilling’s most dangerous blind spot of all."
"Highlight (Yellow)","Location 1152","","But like Skilling himself, McKinsey partners tend to be designers of ditches, not diggers of ditches. When it comes to executing their lofty theories, well, consultants lean toward leaving those messy realities to the companies themselves."
"Highlight (Yellow)","Location 1169","","McKinsey has since sought to distance itself from Skilling and Enron, much of what he brought to Enron—not only ideas about how to reshape the natural gas industry but ideas about what companies should value and how they should be run—came out of his experience at McKinsey."
"Highlight (Yellow)","Location 1213","","In classic Skilling fashion, he used just one slide in his presentation—which shocked the Enron executives, who were expecting dozens—and he spoke for less than a half hour. When he had finished, an executive named Jim Rogers declared the idea dumb, and virtually all of the others agreed."
"Highlight (Yellow)","Location 1657","","it all sounded very Darwinian, well, that was the point. Skilling believed that greed was the greatest motivator, and he was only too happy to feed it. “I’ve thought about this a lot, and all that matters is money,” Terry Thorn, an Enron managing director, recalls Skilling telling him. “You buy loyalty with money. This touchy-feely stuff isn’t as important as cash. That’s what drives performance.”"
"Highlight (Yellow)","Location 1669","","Which offers up the problem: no company can prosper over the long term if every employee is a free agent, motivated solely by greed, no matter how smart he is. No company can function if it only hires brilliant MBAs—and sets them against each other. There is a reason companies value team players, just as there’s a reason that people who get along with others tend to do well in corporate life. The reason is simple: you can’t build a company on brilliance alone. You need people who can come up with ideas, and you also need people who can implement those ideas and are well compensated for doing so. The pure meritocracy Skilling thought"
